,Close,MA10,EMA12,EMA26,MACD,UB,LB,ATR,RSI,pivot,s1,r1,s2,r2,s3,r3,CCI,mom,^GDAXI,^GSPC,^IXIC,usd_interest,usd_inflation,eur_interest,eur_inflation
2020-10-05,1.1720443964004517,1.1705585718154907,1.1734891328636947,1.1758317954208632,-0.0023426625571685,1.1910517701116952,1.1622773877175896,0.0086246643747602,34.58060382703984,1.1745458046595256,1.1694290240605671,1.17716117699941,1.1668136517206826,1.1822779575983686,1.1616968711217242,1.1848933299382531,-0.8317307862239435,0.0041611194610595,12828.3095703125,3408.60009765625,11332.490234375,0.09,0.90276,0.25,-0.2
2020-10-06,1.1792453527450562,1.1708031058311463,1.1743747051531348,1.1760846515189516,-0.0017099463658167,1.190727916933434,1.162308498643501,0.0087568589619228,53.055903989226174,1.17890469233195,1.1770742734273274,1.1810757716496787,1.1749031941095986,1.1829061905543012,1.173072775204976,1.18507726987203,0.1874197145299567,0.0050402879714965,12906.01953125,3360.969970703125,11154.599609375,0.09,0.90276,0.25,-0.2
2020-10-07,1.1737639904022217,1.1710958242416385,1.1742807490376097,1.17591275069549,-0.0016320016578803,1.1906151607486275,1.1620952055004568,0.0085016659327916,53.7026481737824,1.1748146216074626,1.1714899142583213,1.1770886977513633,1.1692158381144206,1.1804134051005046,1.1658911307652793,1.1826874812444053,-1.5531809440386843,0.0011560916900634,12928.5703125,3419.43994140625,11364.599609375,0.09,0.90276,0.25,-0.2
2020-10-08,1.176747441291809,1.1721851229667664,1.1746602401536403,1.1759745796285506,-0.0013143394749102,1.1902801369718043,1.162041213602689,0.0083480136735099,64.51262471451872,1.1761370499928792,1.1741402546564734,1.1787442366282144,1.1715330680211382,1.18074103196462,1.1695362726847325,1.183348218599955,1.0973683394325464,0.0022528171539306,13042.2099609375,3446.830078125,11420.98046875,0.09,0.90276,0.25,-0.2
2020-10-09,1.1767003536224363,1.173122727870941,1.1749741037642245,1.1760283406651346,-0.0010542369009103,1.1896859684287149,1.1620615682305258,0.007815488747188,62.98384860210471,1.1783427794774373,1.1742332379023233,1.1808098951975503,1.1717661221822102,1.1849194367726643,1.1676565806070962,1.1873865524927774,3.973112271944361,0.0046559572219846,13051.23046875,3477.139892578125,11579.9404296875,0.09,0.90276,0.25,-0.2
2020-10-12,1.181683897972107,1.174937629699707,1.176006379796206,1.1764472708360216,-0.0004408910398154,1.1892706475760415,1.1622179903481524,0.0071599738938468,74.32798233306991,1.1810721556345622,1.1794122060139975,1.183343847592672,1.177140514055888,1.1850037972132366,1.1754805644353232,1.1872754891713462,5.164773845683962,0.0024385452270507,13138.41015625,3534.219970703125,11876.259765625,0.09,0.90276,0.25,-0.2
2020-10-13,1.1816140413284302,1.1763107061386109,1.1768690969550095,1.1768299945762,3.910237880977441e-05,1.188251473378999,1.162698565054076,0.0070032903126308,70.79022417963222,1.1788679361343384,1.1763172149658203,1.1841647624969485,1.1710203886032102,1.1867154836654663,1.1684696674346922,1.1920123100280766,4.961542347636528,0.0078500509262084,13018.990234375,3511.929931640625,11863.900390625,0.09,1.03422,0.25,-0.2
2020-10-14,1.1742188930511477,1.1763120889663696,1.1764613732774925,1.1766365796484184,-0.0001752063709259,1.1870281173123236,1.1628996895419244,0.0071158409118652,50.02027872761506,1.1744704643885295,1.171916445096334,1.1767729123433432,1.1696139971415205,1.1793269316355388,1.1670599778493247,1.1816293795903523,4.059025409344803,-0.0025285482406613,13028.0595703125,3488.669921875,11768.73046875,0.09,1.03422,0.25,-0.2
2020-10-15,1.1743981838226318,1.176491117477417,1.176143959515206,1.176470772550212,-0.0003268130350058,1.186462517384324,1.162870613929,0.0071068406105041,52.7393112505472,1.1731566588083904,1.170257886250814,1.1772969563802085,1.166117588678996,1.180195728937785,1.1632188161214196,1.1843360265096026,2.594689206002002,-0.0023021697998044,12703.75,3483.340087890625,11713.8701171875,0.09,1.03422,0.25,-0.2
2020-10-16,1.1707134246826172,1.176112997531891,1.1753084926178847,1.1760443023377976,-0.0007358097199128,1.1848532434516037,1.163069224733821,0.0070270981107439,44.51613572473315,1.171627442042033,1.1685808499654136,1.1737600167592368,1.1664482752482097,1.1768066088358562,1.1634016831715903,1.17893918355306,1.6977943151341388,-0.0109704732894897,12908.990234375,3483.81005859375,11671.5595703125,0.09,1.03422,0.25,-0.3
2020-10-19,1.171550154685974,1.1760635733604432,1.174730286782206,1.1757114025117366,-0.0009811157295305,1.1830301349259107,1.1635920102500232,0.0069128445216587,49.248008473961086,1.1738559405008953,1.1681884129842126,1.1772176822026572,1.1648266712824509,1.18288520971934,1.159159143765768,1.1862469514211018,2.8206097143221456,-0.0100638866424562,12854.66015625,3426.919921875,11478.8798828125,0.09,1.03422,0.25,-0.3
2020-10-20,1.176885962486267,1.1758276343345642,1.1750619291982154,1.1757984069542944,-0.0007364777560789,1.1830410018339537,1.1635897383317566,0.0072474735123771,46.194168185768895,1.1790471076965332,1.1741018295288086,1.1818312406539917,1.17131769657135,1.1867765188217163,1.1663724184036257,1.1895606517791748,2.8521725525221533,0.0026670694351194,12736.9501953125,3443.1201171875,11516.490234375,0.09,1.03422,0.25,-0.3
2020-10-21,1.1829839944839478,1.1767496347427369,1.1762807084729434,1.1763306726972316,-4.9964224288157055e-05,1.1844783854655068,1.163367073518868,0.0077072892870222,64.58228850468524,1.1847082773844402,1.181203683217367,1.1864885886510217,1.1794233719507854,1.189993182818095,1.175918777783712,1.1917734940846765,4.371780398618797,0.0085858106613159,12557.6396484375,3435.56005859375,11484.6904296875,0.09,1.03422,0.25,-0.3
