,Close,FTSEMIB.MI,^DJI,^FCHI,^GDAXI,^GSPC,^IXIC,usd_interest,usd_inflation,eur_interest,eur_inflation
2022-06-22,1.053263545036316,21789.0,30483.130859375,5916.6298828125,13144.2802734375,3759.889892578125,11053.080078125,1.58,9.62691,0.25,8.1
2022-06-23,1.0564124584197998,21615.0,30677.359375,5883.330078125,12912.58984375,3795.72998046875,11232.1904296875,1.58,9.62691,0.25,8.1
2022-06-24,1.052011489868164,22119.0,31500.6796875,6073.35009765625,13118.1298828125,3911.739990234375,11607.6201171875,1.58,9.62691,0.25,8.1
2022-06-27,1.0566133260726929,21929.0,31438.259765625,6047.31005859375,13186.0703125,3900.110107421875,11524.5498046875,1.58,9.62691,0.25,8.1
2022-06-28,1.0580891370773315,22101.0,30946.990234375,6086.02001953125,13231.8203125,3821.550048828125,11181.5400390625,1.58,9.62691,0.25,8.1
2022-06-29,1.0523545742034912,21834.0,31029.310546875,6031.47998046875,13003.349609375,3818.830078125,11177.8896484375,1.58,9.62691,0.25,8.1
2022-06-30,1.04465913772583,21294.0,30775.4296875,5922.85986328125,12783.76953125,3785.3798828125,11028.740234375,1.58,9.62691,0.25,8.1
2022-07-01,1.0477677583694458,21355.0,31097.259765625,5931.06005859375,12813.0302734375,3825.330078125,11127.849609375,1.58,9.62691,0.25,8.1
2022-07-05,1.0433186292648315,20705.0,30967.8203125,5794.9599609375,12401.2001953125,3831.389892578125,11322.240234375,1.58,9.62691,0.25,8.1
2022-07-06,1.0257673263549805,20921.0,31037.6796875,5912.3798828125,12594.51953125,3845.080078125,11361.849609375,1.58,9.62691,0.25,8.1
2022-07-07,1.0186411142349243,21558.0,31384.55078125,6006.7001953125,12843.2197265625,3902.6201171875,11621.349609375,1.58,9.62691,0.25,8.1
2022-07-08,1.0169836282730105,21774.0,31338.150390625,6033.1298828125,13015.23046875,3899.3798828125,11635.3095703125,1.58,9.62691,0.25,8.1
2022-07-11,1.0166114568710327,21568.0,31173.83984375,5996.2998046875,12832.4404296875,3854.429931640625,11372.599609375,1.58,9.62691,0.25,8.1
2022-07-12,1.004752516746521,21486.0,30981.330078125,6044.2001953125,12905.48046875,3818.800048828125,11264.73046875,1.58,9.62691,0.25,8.1
2022-07-13,1.0033109188079834,21286.0,30772.7890625,6000.240234375,12756.3203125,3801.780029296875,11247.580078125,1.58,10.13274,0.25,8.1
2022-07-14,1.0032706260681152,20554.0,30630.169921875,5915.41015625,12519.66015625,3790.3798828125,11251.1904296875,1.58,10.13274,0.25,8.1
2022-07-15,1.0025665760040283,20933.0,31288.259765625,6036.0,12864.7197265625,3863.159912109375,11452.419921875,1.58,10.13274,0.25,8.1
2022-07-18,1.009631872177124,21169.0,31072.609375,6091.91015625,12959.8095703125,3830.85009765625,11360.0498046875,1.58,10.13274,0.25,8.1
2022-07-19,1.0145177841186523,21696.0,31827.05078125,6201.22021484375,13308.41015625,3936.68994140625,11713.150390625,1.58,10.13274,0.25,8.6
2022-07-20,1.0231330394744873,21348.0,31874.83984375,6184.66015625,13281.98046875,3959.89990234375,11897.650390625,1.58,10.13274,0.25,8.6
2022-07-21,1.0182781219482422,21197.0,32036.900390625,6201.10986328125,13246.6396484375,3998.949951171875,12059.6103515625,1.58,10.13274,0.25,8.6
2022-07-22,1.0221081972122192,21212.0,31899.2890625,6216.81982421875,13253.6796875,3961.6298828125,11834.1103515625,1.58,10.13274,0.25,8.6
2022-07-25,1.0200231075286863,21383.0,31990.0390625,6237.5498046875,13210.3203125,3966.840087890625,11782.669921875,1.58,10.13274,0.25,8.6
2022-07-26,1.022494912147522,21160.0,31761.5390625,6211.4501953125,13096.9296875,3921.050048828125,11562.5703125,1.58,10.13274,0.25,8.6
2022-07-27,1.0129557847976685,21481.0,32197.58984375,6257.93994140625,13166.3798828125,4023.610107421875,12032.419921875,1.58,10.13274,0.75,8.6
2022-07-28,1.0209290981292725,21932.0,32529.630859375,6339.2099609375,13282.1103515625,4072.429931640625,12162.58984375,2.33,10.13274,0.75,8.6
2022-07-29,1.0192328691482544,22405.0,32845.12890625,6448.5,13484.0498046875,4130.2900390625,12390.6904296875,2.32,10.13274,0.75,8.6
2022-08-01,1.0208247900009155,22429.0,32798.3984375,6436.85986328125,13479.6298828125,4118.6298828125,12368.98046875,2.33,10.13274,0.75,8.6
2022-08-02,1.0261356830596924,22351.0,32396.169921875,6409.7998046875,13449.2001953125,4091.18994140625,12348.759765625,2.33,10.13274,0.75,8.6
2022-08-03,1.015568733215332,22575.0,32812.5,6472.06005859375,13587.5595703125,4155.169921875,12668.16015625,2.33,10.13274,0.75,8.6
2022-08-04,1.015764594078064,22646.0,32726.8203125,6513.39013671875,13662.6796875,4151.93994140625,12720.580078125,2.33,10.13274,0.75,8.6
2022-08-05,1.024779200553894,22587.0,32803.46875,6472.35009765625,13573.9296875,4145.18994140625,12657.5498046875,2.33,10.13274,0.75,8.6
