,Close,^DJI,^GSPC,^IXIC,^SSMI,usd_interest,usd_inflation,chf_interest,chf_inflation
2021-01-13,1.128795504570007,31060.470703125,3809.840087890625,13128.9501953125,10846.8798828125,0.09,1.12973,-0.75,-1.0
2021-01-14,1.1275228261947632,30991.51953125,3795.5400390625,13112.6396484375,10850.8095703125,0.09,1.12973,-0.75,-1.0
2021-01-15,1.1258091926574707,30814.259765625,3768.25,12998.5,10877.0595703125,0.09,1.12973,-0.75,-1.0
2021-01-19,1.1224603652954102,30930.51953125,3798.909912109375,13197.1796875,10876.98046875,0.09,1.12973,-0.75,-1.0
2021-01-20,1.1261261701583862,31188.380859375,3851.85009765625,13457.25,10945.4599609375,0.09,1.12973,-0.75,-1.0
2021-01-21,1.1245051622390747,31176.009765625,3853.070068359375,13530.91015625,10913.1103515625,0.08,1.12973,-0.75,-1.0
2021-01-25,1.1295312643051147,30960.0,3855.360107421875,13635.990234375,10925.7001953125,0.08,1.12973,-0.75,-1.0
2021-01-26,1.126100778579712,30937.0390625,3849.6201171875,13626.0595703125,10964.0498046875,0.08,1.12973,-0.75,-1.0
2021-01-27,1.1277772188186646,30303.169921875,3750.77001953125,13270.599609375,10904.240234375,0.08,1.12973,-0.75,-1.0
2021-01-28,1.124985933303833,30603.359375,3787.3798828125,13337.16015625,10849.8203125,0.07,1.12973,-0.75,-1.0
2021-01-29,1.1253544092178345,29982.619140625,3714.239990234375,13070.6904296875,10591.0595703125,0.07,1.12973,-0.75,-1.0
2021-02-01,1.1218812465667725,30211.91015625,3773.860107421875,13403.3896484375,10740.2197265625,0.08,1.12973,-0.75,-1.0
2021-02-02,1.1154738664627075,30687.48046875,3826.31005859375,13612.7802734375,10803.5703125,0.08,1.12973,-0.75,-0.6
2021-02-03,1.1142061948776243,30723.599609375,3830.169921875,13610.5400390625,10775.6796875,0.08,1.12973,-0.75,-0.6
2021-02-04,1.113164305686951,31055.859375,3871.739990234375,13777.740234375,10860.9501953125,0.08,1.12973,-0.75,-0.6
2021-02-05,1.106157898902893,31148.240234375,3886.830078125,13856.2998046875,10755.4697265625,0.08,1.12973,-0.75,-0.6
2021-02-08,1.112371802330017,31385.759765625,3915.590087890625,13987.6396484375,10778.830078125,0.07,1.12973,-0.75,-0.6
2021-02-09,1.11284339427948,31375.830078125,3911.22998046875,14007.7001953125,10803.669921875,0.08,1.12973,-0.75,-0.6
2021-02-10,1.1205737590789795,31437.80078125,3909.8798828125,13972.5302734375,10825.75,0.08,1.21883,-0.75,-0.6
2021-02-11,1.1232850551605225,31430.69921875,3916.3798828125,14025.76953125,10852.91015625,0.08,1.21883,-0.75,-0.6
2021-02-12,1.1234439611434937,31458.400390625,3934.830078125,14095.4697265625,10880.3701171875,0.08,1.21883,-0.75,-0.6
2021-02-16,1.1238051652908323,31522.75,3932.590087890625,14047.5,10907.599609375,0.08,1.21883,-0.75,-0.6
2021-02-18,1.1130527257919312,31493.33984375,3913.969970703125,13865.3603515625,10717.7099609375,0.07,1.21883,-0.75,-0.6
2021-02-19,1.116308093070984,31494.3203125,3906.7099609375,13874.4599609375,10704.75,0.07,1.21883,-0.75,-0.6
2021-02-22,1.1152125597000122,31521.689453125,3876.5,13533.0498046875,10697.3798828125,0.07,1.21883,-0.75,-0.6
2021-02-23,1.11645770072937,31537.349609375,3881.3701171875,13465.2001953125,10609.0302734375,0.07,1.21883,-0.75,-0.6
2021-02-24,1.1048502922058103,31961.859375,3925.429931640625,13597.9697265625,10727.7001953125,0.07,1.21883,-0.75,-0.6
