,Close,^DJI,^FTSE,^GSPC,^IXIC,usd_interest,usd_inflation,gbp_interest,gbp_inflation
2020-02-06,1.2997140884399414,29379.76953125,7504.7998046875,3345.780029296875,9572.150390625,1.59,1.98752,0.75,1.4
2020-02-07,1.2930254936218262,29102.509765625,7466.7001953125,3327.7099609375,9520.509765625,1.58,1.98752,0.75,1.4
2020-02-10,1.2891582250595093,29276.8203125,7446.89990234375,3352.090087890625,9628.3896484375,1.58,1.98752,0.75,1.4
2020-02-11,1.2918227910995483,29276.33984375,7499.39990234375,3357.75,9638.9404296875,1.58,1.98752,0.75,1.4
2020-02-12,1.2956557273864746,29551.419921875,7534.39990234375,3379.449951171875,9725.9599609375,1.58,1.98752,0.75,1.4
2020-02-13,1.295756459236145,29423.310546875,7452.0,3373.93994140625,9711.9697265625,1.58,2.2235,0.75,1.4
2020-02-14,1.3046824932098389,29398.080078125,7409.10009765625,3380.159912109375,9731.1796875,1.58,2.2235,0.75,1.4
2020-02-18,1.3008975982666016,29232.189453125,7382.0,3370.2900390625,9732.740234375,1.59,2.2235,0.75,1.4
2020-02-19,1.300220966339111,29348.029296875,7457.0,3386.14990234375,9817.1796875,1.59,2.2235,0.75,1.8
2020-02-20,1.2928247451782229,29219.98046875,7436.60009765625,3373.22998046875,9750.9697265625,1.59,2.2235,0.75,1.8
2020-02-21,1.2883278131484983,28992.41015625,7403.89990234375,3337.75,9576.58984375,1.58,2.2235,0.75,1.8
2020-02-24,1.29537034034729,27960.80078125,7156.7998046875,3225.889892578125,9221.2802734375,1.58,2.2235,0.75,1.8
2020-02-25,1.292657732963562,27081.359375,7017.89990234375,3128.2099609375,8965.6103515625,1.58,2.2235,0.75,1.8
2020-02-26,1.3003394603729248,26957.58984375,7042.5,3116.389892578125,8980.7802734375,1.58,2.2235,0.75,1.8
2020-02-27,1.2906889915466309,25766.640625,6796.39990234375,2978.760009765625,8566.48046875,1.58,2.2235,0.75,1.8
2020-02-28,1.2888922691345217,25409.359375,6580.60009765625,2954.219970703125,8567.3701171875,1.58,2.2235,0.75,1.8
2020-03-02,1.2807048559188845,26703.3203125,6654.89990234375,3090.22998046875,8952.169921875,1.59,2.2235,0.75,1.8
2020-03-03,1.2767152786254885,25917.41015625,6718.2001953125,3003.3701171875,8684.08984375,1.59,2.2235,0.75,1.8
2020-03-04,1.2820841073989868,27090.859375,6815.60009765625,3130.1201171875,9018.08984375,1.09,2.2235,0.75,1.8
2020-03-05,1.2874983549118042,26121.279296875,6705.39990234375,3023.93994140625,8738.58984375,1.09,2.2235,0.75,1.8
2020-03-06,1.295068383216858,25864.779296875,6462.60009765625,2972.3701171875,8575.6201171875,1.09,2.2235,0.75,1.8
2020-03-09,1.3099292516708374,23851.01953125,5965.7998046875,2746.56005859375,7950.68017578125,1.09,2.2235,0.75,1.8
2020-03-10,1.3075313568115234,25018.16015625,5960.2001953125,2882.22998046875,8344.25,1.09,2.2235,0.75,1.8
