,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
44,50,16,0.001,32,32,tanh,tanh,7.864671814052417e-06,0.002804402220447776,0.0023367704049885476
1149,100,32,0.1,16,32,tanh,relu,7.876348806117103e-06,0.0028064833521895516,0.0021500880695465054
1014,100,32,0.001,32,32,tanh,relu,7.904778599326208e-06,0.0028115438106716757,0.0024038868533590406
1047,100,32,0.001,64,64,sigmoid,relu,7.933556957491315e-06,0.0028166570535816593,0.002309495854848042
252,50,32,0.001,16,32,relu,relu,7.970713608359587e-06,0.0028232452263945453,0.00228072773845882
304,50,32,0.001,64,16,tanh,sigmoid,8.017357157486969e-06,0.0028314938031871037,0.002328105390165929
1232,100,64,0.001,16,32,tanh,tanh,8.033015864221435e-06,0.0028342575507919942,0.002343158680429254
327,50,32,0.01,16,16,sigmoid,relu,8.040651258647618e-06,0.002835604214034042,0.0023863507437831954
983,100,32,0.001,16,32,relu,tanh,8.113650115839133e-06,0.0028484469656005766,0.0024566274121304564
75,50,16,0.001,64,64,sigmoid,relu,8.128982195083552e-06,0.0028511370004059,0.0023728808020310912
622,50,64,0.01,64,16,relu,sigmoid,8.131263917973778e-06,0.002851537114956384,0.0024204291412407188
211,50,16,0.1,32,64,sigmoid,sigmoid,8.135568887168056e-06,0.002852291865705201,0.0025101609463496414
373,50,32,0.01,32,64,sigmoid,sigmoid,8.143884128877384e-06,0.002853749135589424,0.0023442676431762867
345,50,32,0.01,16,64,sigmoid,relu,8.167539728723867e-06,0.0028578907832042615,0.002414269152744308
1234,100,64,0.001,16,64,relu,sigmoid,8.170694404383468e-06,0.0028584426536811033,0.002372008858673845
637,50,64,0.01,64,32,tanh,sigmoid,8.186164372305197e-06,0.002861147387378916,0.0024325351733188775
580,50,64,0.01,16,32,sigmoid,sigmoid,8.260348005110701e-06,0.0028740821152344795,0.002425713745449377
643,50,64,0.01,64,64,sigmoid,sigmoid,8.307183228470579e-06,0.0028822184560630686,0.0024573611688750285
751,100,16,0.001,16,64,sigmoid,sigmoid,8.312562896859318e-06,0.002883151556345819,0.002470733318803788
633,50,64,0.01,64,32,sigmoid,relu,8.32840268525838e-06,0.0028858972062875666,0.002436918687464815
220,50,16,0.1,64,16,sigmoid,sigmoid,8.333087547816874e-06,0.002886708774333995,0.0025205126532602973
966,100,16,0.1,64,64,sigmoid,relu,8.360031584889309e-06,0.002891371920886227,0.0023465678907641217
930,100,16,0.1,32,32,sigmoid,relu,8.37413781149893e-06,0.0028938102583788957,0.00267769531313759
73,50,16,0.001,64,64,relu,sigmoid,8.376173116472374e-06,0.002894161902256398,0.002409234493101409
1314,100,64,0.01,16,64,relu,relu,8.394849060275975e-06,0.0028973865914433948,0.0020966135805382245
568,50,64,0.01,16,16,relu,sigmoid,8.425741423216275e-06,0.0029027127696718935,0.002283664760598583
223,50,16,0.1,64,16,tanh,sigmoid,8.426417639949932e-06,0.002902829247467018,0.002242015752170428
344,50,32,0.01,16,64,relu,tanh,8.43896247513374e-06,0.0029049892383851855,0.002430513294117722
589,50,64,0.01,16,64,sigmoid,sigmoid,8.449434507666838e-06,0.0029067911014840466,0.002550472227982702
337,50,32,0.01,16,32,sigmoid,sigmoid,8.449595953488054e-06,0.002906818871806094,0.002359051760144547
1257,100,64,0.001,32,32,tanh,relu,8.483115257468439e-06,0.0029125787984994396,0.00250374511454948
697,50,64,0.1,32,64,sigmoid,sigmoid,8.500826701984074e-06,0.002915617722196117,0.0024017912977634405
259,50,32,0.001,16,32,tanh,sigmoid,8.502000605079511e-06,0.0029158190281770766,0.0024453268180299444
1267,100,64,0.001,32,64,tanh,sigmoid,8.518299449163034e-06,0.0029186125897698438,0.0023286640353545303
68,50,16,0.001,64,32,sigmoid,tanh,8.584588423945827e-06,0.0029299468295424453,0.002386637671123054
64,50,16,0.001,64,32,relu,sigmoid,8.640707118262494e-06,0.0029395079721379383,0.002424283185818921
1337,100,64,0.01,32,32,sigmoid,tanh,8.651102515826663e-06,0.0029412756613120543,0.002453640568786748
1029,100,32,0.001,64,16,sigmoid,relu,8.65883127846993e-06,0.0029425892133408513,0.0024522432329307387
1384,100,64,0.1,16,16,tanh,sigmoid,8.694616607685731e-06,0.0029486635290730833,0.0024647236324652658
286,50,32,0.001,32,32,tanh,sigmoid,8.73760797673455e-06,0.0029559445151650853,0.0024512222018616644
270,50,32,0.001,32,16,relu,relu,8.742449892775063e-06,0.0029567634150833005,0.0025100586726419937
182,50,16,0.1,16,64,relu,tanh,8.779776932017172e-06,0.0029630688368678126,0.0027947488293757557
409,50,32,0.1,16,16,sigmoid,sigmoid,8.798545011461352e-06,0.002966234146432367,0.0025546280768650224
315,50,32,0.001,64,64,relu,relu,8.803465236353848e-06,0.0029670634028200085,0.002496984177660021
1287,100,64,0.001,64,64,relu,relu,8.829559073431894e-06,0.002971457398892317,0.002433927911629103
45,50,16,0.001,32,64,relu,relu,8.834094492329075e-06,0.0029722204649603426,0.0021489174302887722
769,100,16,0.001,32,32,sigmoid,sigmoid,8.835198399822976e-06,0.0029724061633335,0.0025675897873978144
308,50,32,0.001,64,32,relu,tanh,8.859921251284484e-06,0.0029765619851238583,0.0025084045103592116
1015,100,32,0.001,32,32,tanh,sigmoid,8.988128901907161e-06,0.002998020830799406,0.0024800239757561044
200,50,16,0.1,32,32,relu,tanh,9.000688090639275e-06,0.0030001146795813113,0.002116970906147206
980,100,32,0.001,16,16,tanh,tanh,9.02600974288689e-06,0.003004331829689738,0.002502058075476876
595,50,64,0.01,32,16,relu,sigmoid,9.05686532531195e-06,0.0030094626306555045,0.0026220985218049354
287,50,32,0.001,32,32,tanh,tanh,9.118774669662485e-06,0.00301973089358348,0.002541595783883688
1239,100,64,0.001,16,64,tanh,relu,9.137503168237554e-06,0.003022830324089917,0.0025052330133833213
597,50,64,0.01,32,16,sigmoid,relu,9.173635270684664e-06,0.0030288009625402366,0.002602043506519308
1,50,16,0.001,16,16,relu,sigmoid,9.206071764429214e-06,0.003034150913258801,0.002652808363955254
262,50,32,0.001,16,64,relu,sigmoid,9.208692470163315e-06,0.0030345827505875193,0.0023897567734260153
1355,100,64,0.01,64,16,sigmoid,tanh,9.216700083001995e-06,0.0030359018566155915,0.0025541620042732653
