,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
46,50,16,0.001,32,64,relu,sigmoid,6.02388559093473e-06,0.0024543605258671207,0.001911564038911341
640,50,64,0.01,64,64,relu,sigmoid,6.034567983594428e-06,0.002456535768840834,0.001970347912611038
150,50,16,0.01,64,32,tanh,relu,6.0348680206119975e-06,0.0024565968372144416,0.0020525476364964125
1126,100,32,0.01,64,64,relu,sigmoid,6.045805114604068e-06,0.002458821895665497,0.002012316450472724
1191,100,32,0.1,64,16,sigmoid,relu,6.050245438689153e-06,0.002459724667252242,0.0021589183068643552
838,100,16,0.01,32,16,relu,sigmoid,6.0512989522669285e-06,0.002459938810675365,0.001820355033660085
40,50,16,0.001,32,32,sigmoid,sigmoid,6.052493608639119e-06,0.002460181621067664,0.002053710410770129
660,50,64,0.1,16,32,sigmoid,relu,6.0639789011015265e-06,0.0024625147514485118,0.002111769028847678
1365,100,64,0.01,64,32,tanh,relu,6.080960368735225e-06,0.002465960333974418,0.002037293297579044
839,100,16,0.01,32,16,relu,tanh,6.087306972599641e-06,0.002467246840630187,0.0021228149362597553
619,50,64,0.01,32,64,tanh,sigmoid,6.092487815172951e-06,0.0024682965411742873,0.0021706888048447903
1239,100,64,0.001,16,64,tanh,relu,6.096153775634539e-06,0.0024690390389045165,0.0019014922039872568
333,50,32,0.01,16,32,relu,relu,6.1013054460327564e-06,0.0024700820727321503,0.0018903813526262557
820,100,16,0.01,16,32,relu,sigmoid,6.102947506524109e-06,0.0024704144402355062,0.0021027408079063036
857,100,16,0.01,32,64,relu,tanh,6.118022752780102e-06,0.0024734637156789063,0.0018908090111324095
207,50,16,0.1,32,64,relu,relu,6.124973962925392e-06,0.0024748684738638924,0.0019605495593739697
1071,100,32,0.01,16,64,relu,relu,6.136504625915385e-06,0.0024771969291752694,0.002006352913084592
347,50,32,0.01,16,64,sigmoid,tanh,6.139377543379837e-06,0.002477776733965318,0.0020683224812129385
860,100,16,0.01,32,64,sigmoid,tanh,6.163691174905509e-06,0.002482678226211667,0.002244111727039079
1098,100,32,0.01,32,64,relu,relu,6.1648840451322215e-06,0.0024829184531780786,0.002109840141516398
1115,100,32,0.01,64,16,tanh,tanh,6.175012587234315e-06,0.002484957260645405,0.00213246558972331
784,100,16,0.001,64,16,relu,sigmoid,6.182058164289055e-06,0.0024863745020187638,0.00205390969558587
66,50,16,0.001,64,32,sigmoid,relu,6.199801657803088e-06,0.0024899400912076356,0.0020419949676778494
1125,100,32,0.01,64,64,relu,relu,6.20343368302352e-06,0.002490669324302911,0.002110209709019269
1021,100,32,0.001,32,64,sigmoid,sigmoid,6.234648886584811e-06,0.002496927889744678,0.0020619702921695227
355,50,32,0.01,32,16,sigmoid,sigmoid,6.251690343387744e-06,0.002500338045822553,0.002088589243844146
1360,100,64,0.01,64,32,relu,sigmoid,6.267422529560055e-06,0.002503482080934484,0.001830363081250532
359,50,32,0.01,32,16,tanh,tanh,6.283629352853912e-06,0.0025067168473630825,0.002110509243465887
1332,100,64,0.01,32,32,relu,relu,6.284649713888332e-06,0.002506920364488735,0.002147456234810612
985,100,32,0.001,16,32,sigmoid,sigmoid,6.313816226003912e-06,0.002512730830392287,0.0020866879417877227
573,50,64,0.01,16,16,tanh,relu,6.320658640963866e-06,0.0025140920112366343,0.001998732177298522
588,50,64,0.01,16,64,sigmoid,relu,6.323619278037292e-06,0.002514680750719123,0.002051861561217476
322,50,32,0.001,64,64,tanh,sigmoid,6.327788090779638e-06,0.002515509509180921,0.0021388512627795926
33,50,16,0.001,32,16,tanh,relu,6.3280470847863536e-06,0.0025155609880872206,0.0018678522793889427
1124,100,32,0.01,64,32,tanh,tanh,6.3369371312441636e-06,0.0025173273786387347,0.002241878360730821
566,50,64,0.001,64,64,tanh,tanh,6.351157117775471e-06,0.0025201502173036175,0.0021259112243259656
