,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
554,50,64,0.001,64,32,sigmoid,tanh,1.8341478277635357e-05,0.0042826952118537875,0.0038968925195989
1232,100,64,0.001,16,32,tanh,tanh,1.8445447431181596e-05,0.004294816344290125,0.0037343756656321
513,50,64,0.001,32,16,relu,relu,1.8486468693762965e-05,0.004299589363388434,0.0037811405136393282
530,50,64,0.001,32,32,tanh,tanh,1.854724841338721e-05,0.0043066516475548855,0.0038438973898005584
453,50,32,0.1,32,64,sigmoid,relu,1.860404056783458e-05,0.004313240147248305,0.0038534073988440226
1457,100,64,0.1,64,64,tanh,tanh,1.8618913648911413e-05,0.004314963922086882,0.0036405620928505744
280,50,32,0.001,32,32,relu,sigmoid,1.8655917180544566e-05,0.0043192496085019865,0.003909008816637833
264,50,32,0.001,16,64,sigmoid,relu,1.866956029835507e-05,0.004320828658759228,0.003930977235067446
304,50,32,0.001,64,16,tanh,sigmoid,1.871028640952799e-05,0.0043255388577064,0.003935705492860433
309,50,32,0.001,64,32,sigmoid,relu,1.875417950639953e-05,0.004330609599859993,0.003912525187379984
1401,100,64,0.1,16,64,tanh,relu,1.8867523830616817e-05,0.0043436763036184935,0.0035389304078825086
975,100,32,0.001,16,16,sigmoid,relu,1.888340983738309e-05,0.004345504554983586,0.003954987715635188
560,50,64,0.001,64,64,relu,tanh,1.8962355906340477e-05,0.0043545787289174685,0.003789915869561335
1405,100,64,0.1,32,16,relu,sigmoid,1.901490028330447e-05,0.004360607788291039,0.0033916227270057477
11,50,16,0.001,16,32,relu,tanh,1.9056638495567844e-05,0.004365390989999389,0.003723377280651018
1422,100,64,0.1,32,64,relu,relu,1.910732553265579e-05,0.004371192689948109,0.003352509004851536
699,50,64,0.1,32,64,tanh,relu,1.9122904441029717e-05,0.00437297432430488,0.0033979700004341663
456,50,32,0.1,32,64,tanh,relu,1.9140263791681817e-05,0.004374958718854592,0.0037672119739218923
912,100,16,0.1,16,64,sigmoid,relu,1.9206108939916626e-05,0.004382477488808884,0.004089154135911966
727,50,64,0.1,64,64,tanh,sigmoid,1.9259577802186196e-05,0.004388573549820738,0.003926408214285533
941,100,16,0.1,32,64,sigmoid,tanh,1.9320004091801416e-05,0.0043954526606256854,0.0037535195138442253
567,50,64,0.01,16,16,relu,relu,1.932736996586014e-05,0.004396290477875653,0.0038440364727900605
1404,100,64,0.1,32,16,relu,relu,1.935522280369869e-05,0.00439945710329112,0.003967718869366184
552,50,64,0.001,64,32,sigmoid,relu,1.939798052923146e-05,0.004404313854533015,0.004028434059289234
543,50,64,0.001,64,16,sigmoid,relu,1.9435033719954396e-05,0.004408518313442102,0.0040091781205970995
251,50,32,0.001,16,16,tanh,tanh,1.9576670496778172e-05,0.004424553140914704,0.004021457471477583
1402,100,64,0.1,16,64,tanh,sigmoid,1.9582030059344418e-05,0.004425158760919705,0.0036874913392646517
547,50,64,0.001,64,16,tanh,sigmoid,1.9588483281735793e-05,0.00442588785236768,0.0040549585444094325
558,50,64,0.001,64,64,relu,relu,1.9623570231867335e-05,0.004429849910760785,0.003705724772203221
1179,100,32,0.1,32,64,relu,relu,1.9638826870453788e-05,0.004431571602767329,0.004031355611699403
9,50,16,0.001,16,32,relu,relu,1.9674565917638016e-05,0.004435602091896659,0.003937724350404104
240,50,16,0.1,64,64,tanh,relu,1.971674338534451e-05,0.004440353970726265,0.0038520924429125184
705,50,64,0.1,64,16,sigmoid,relu,1.9722378480040923e-05,0.0044409884575442125,0.003390068987846145
1389,100,64,0.1,16,32,sigmoid,relu,1.9762835838624044e-05,0.004445541118764289,0.004114587354499172
563,50,64,0.001,64,64,sigmoid,tanh,1.9770225798070337e-05,0.004446372206425181,0.0040538954125435775
474,50,32,0.1,64,32,tanh,relu,2.00418977511955e-05,0.00447681781527856,0.003928753714446912
255,50,32,0.001,16,32,sigmoid,relu,2.0089259419667118e-05,0.004482104351715511,0.004075442230239629
1268,100,64,0.001,32,64,tanh,tanh,2.0099585201588968e-05,0.004483256093687819,0.004044141429960877
